train_id,rolling_stock_certificate,signalling_certificate,telecom_certificate,brake_certificate,electrical_certificate,mechanical_certificate,certificate_expiry_date,last_inspection_date,inspection_score,compliance_status
R-001,valid,valid,valid,valid,valid,valid,2024-12-15,2024-01-15,95,compliant
R-002,valid,valid,valid,valid,valid,valid,2024-11-20,2024-01-10,92,compliant
R-003,expired,valid,valid,valid,valid,valid,2024-01-10,2023-12-15,88,non_compliant
R-004,valid,valid,valid,valid,valid,valid,2024-10-30,2024-01-05,94,compliant
R-005,valid,expired,valid,valid,valid,valid,2024-02-15,2023-12-20,85,non_compliant
R-006,valid,valid,valid,valid,valid,valid,2024-12-01,2024-01-12,96,compliant
R-007,valid,valid,valid,valid,valid,valid,2024-11-25,2024-01-08,93,compliant
R-008,valid,valid,expired,valid,valid,valid,2024-03-20,2023-12-25,87,non_compliant
R-009,valid,valid,valid,valid,valid,valid,2024-10-15,2024-01-03,91,compliant
R-010,valid,valid,valid,valid,valid,valid,2024-12-10,2024-01-14,97,compliant
R-011,valid,valid,valid,expired,valid,valid,2024-01-25,2023-12-30,89,non_compliant
R-012,valid,valid,valid,valid,valid,valid,2024-11-30,2024-01-11,95,compliant
R-013,valid,valid,valid,valid,valid,valid,2024-10-20,2024-01-07,92,compliant
R-014,valid,valid,valid,valid,expired,valid,2024-02-28,2023-12-18,86,non_compliant
R-015,valid,valid,valid,valid,valid,valid,2024-12-05,2024-01-13,94,compliant
R-016,valid,valid,valid,valid,valid,valid,2024-11-15,2024-01-09,93,compliant
R-017,valid,valid,valid,valid,valid,expired,2024-03-10,2023-12-22,88,non_compliant
R-018,valid,valid,valid,valid,valid,valid,2024-10-25,2024-01-06,96,compliant
R-019,valid,valid,valid,valid,valid,valid,2024-12-20,2024-01-16,95,compliant
R-020,valid,valid,valid,valid,valid,valid,2024-11-05,2024-01-04,91,compliant
R-021,valid,valid,valid,valid,valid,valid,2024-10-10,2024-01-02,90,compliant
R-022,valid,valid,valid,valid,valid,valid,2024-12-25,2024-01-17,98,compliant
R-023,valid,valid,valid,valid,valid,valid,2024-11-10,2024-01-01,92,compliant
R-024,valid,valid,valid,valid,valid,valid,2024-10-05,2023-12-28,89,compliant
R-025,valid,valid,valid,valid,valid,valid,2024-12-30,2024-01-18,97,compliant
