train_id,total_mileage,monthly_mileage,daily_average,last_service_mileage,next_service_due,engine_hours,brake_usage_hours,energy_consumption_kwh,maintenance_interval,wear_factor,performance_score,mileage_efficiency,route_complexity,operational_hours
R-001,125000,2500,83,120000,130000,8500,4200,12500,10000,0.75,92,0.88,medium,7200
R-002,98000,2200,73,95000,105000,7200,3800,9800,10000,0.65,95,0.92,low,6800
R-003,156000,2800,93,150000,160000,10200,4800,15600,10000,0.85,88,0.82,high,7800
R-004,87000,2000,67,85000,95000,6800,3500,8700,10000,0.60,96,0.94,low,6400
R-005,142000,2600,87,138000,148000,9600,4600,14200,10000,0.80,89,0.85,medium,7600
R-006,108000,2400,80,105000,115000,7800,4000,10800,10000,0.70,93,0.90,medium,7000
R-007,134000,2700,90,130000,140000,9200,4400,13400,10000,0.78,91,0.87,high,7400
R-008,76000,1800,60,75000,85000,6200,3200,7600,10000,0.55,97,0.95,low,6000
R-009,118000,2300,77,115000,125000,8000,3900,11800,10000,0.68,94,0.91,medium,6900
R-010,95000,2100,70,92000,102000,7000,3700,9500,10000,0.62,95,0.93,low,6600
R-011,148000,2900,97,145000,155000,10000,4700,14800,10000,0.82,87,0.84,high,8000
R-012,82000,1900,63,80000,90000,6500,3400,8200,10000,0.58,96,0.94,low,6200
R-013,126000,2500,83,123000,133000,8600,4100,12600,10000,0.73,92,0.88,medium,7200
R-014,112000,2400,80,109000,119000,7800,4000,11200,10000,0.70,93,0.90,medium,7000
R-015,89000,2000,67,87000,97000,6800,3500,8900,10000,0.61,95,0.92,low,6400
R-016,138000,2700,90,135000,145000,9400,4500,13800,10000,0.79,90,0.86,high,7500
R-017,104000,2300,77,101000,111000,7500,3800,10400,10000,0.67,94,0.91,medium,6800
R-018,78000,1800,60,76000,86000,6200,3200,7800,10000,0.56,97,0.95,low,6000
R-019,122000,2500,83,119000,129000,8400,4000,12200,10000,0.72,92,0.89,medium,7100
R-020,96000,2100,70,94000,104000,7000,3700,9600,10000,0.63,95,0.93,low,6600
R-021,144000,2800,93,141000,151000,9800,4600,14400,10000,0.81,88,0.83,high,7800
R-022,86000,1900,63,84000,94000,6500,3400,8600,10000,0.59,96,0.94,low,6200
R-023,130000,2600,87,127000,137000,9000,4300,13000,10000,0.76,91,0.87,medium,7400
R-024,100000,2200,73,98000,108000,7200,3800,10000,10000,0.66,94,0.91,medium,6800
R-025,116000,2400,80,113000,123000,8000,3900,11600,10000,0.69,93,0.90,medium,7000
