date,trainset_id,daily_km,cumulative_km,km_deviation_from_mean,km_balance_score,bogie_hours,brake_pad_wear_index,hvac_run_hours,door_cycles,cert_days_rolling_stock,cert_days_signalling,cert_days_telecom,min_cert_days,any_cert_expired,cert_expiring_soon,open_job_count,critical_open_jobs,has_critical_open,daily_exposure,exposure_gap,branding_urgency,days_since_deep_clean,needs_cleaning,available_cleaning_bays,available_manpower,bay_number,is_ibl_bay,shunt_cost,turnout_order,fault_count,critical_faults,high_faults,any_withdrawal,assignment,unscheduled_withdrawal,punctuality_score,branding_sla_met,outcome_score,day_of_week
2025-01-01,TS-001,0.0,176519.3,62243.82399999999,62243.82399999999,0.0,0.0,3.5,0,113,53,78,53,0,0,1.0,0.0,0.0,0.0,0.0,0.0,19,True,3,9,20,False,16.13,1,0.0,0.0,0.0,0.0,IBL,False,1.0,True,0.9931,2
2025-01-01,TS-002,393.1,140355.0,26079.524000000005,26079.524000000005,8.7,0.0362,17.5,1118,70,14,32,14,0,0,0.0,0.0,0.0,65.3,0.0,0.0,27,True,3,9,28,False,23.4,2,2.0,0.0,1.0,1.0,IBL,False,1.0,True,0.9496,2
2025-01-01,TS-003,224.6,72811.5,-41463.975999999995,41463.975999999995,5.0,0.0032,16.2,1347,31,66,33,31,0,0,0.0,0.0,0.0,17.2,187.8,313250.4,19,True,3,9,5,True,0.0,3,0.0,0.0,0.0,0.0,SERVICE,False,0.9803,True,0.9383,2
2025-01-01,TS-004,0.0,167803.5,53528.024000000005,53528.024000000005,0.0,0.0,2.4,0,26,14,40,14,0,0,0.0,0.0,0.0,15.0,30.899999999999977,48729.29999999997,28,True,3,9,3,True,0.0,4,1.0,0.0,1.0,1.0,IBL,False,1.0,True,0.9566,2
2025-01-01,TS-005,364.1,115104.9,829.4239999999991,829.4239999999991,8.1,0.01,14.1,1104,51,33,64,33,0,0,0.0,0.0,0.0,0.0,0.0,0.0,29,True,3,9,22,False,13.62,5,1.0,0.0,0.0,0.0,SERVICE,False,0.9876,True,0.938,2
2025-01-01,TS-006,304.3,84391.4,-29884.076,29884.076,6.8,0.0135,15.1,869,51,65,27,27,0,0,0.0,0.0,0.0,47.7,0.0,0.0,17,True,3,9,16,False,11.84,6,0.0,0.0,0.0,0.0,SERVICE,False,0.9648,True,0.9596,2
2025-01-01,TS-007,0.0,115903.9,1628.423999999999,1628.423999999999,0.0,0.0,4.1,0,16,30,74,16,0,0,0.0,0.0,0.0,0.0,0.0,0.0,21,True,3,9,21,False,14.74,7,0.0,0.0,0.0,0.0,SERVICE,False,0.9622,True,0.9504,2
2025-01-01,TS-008,204.1,192744.7,78469.22400000002,78469.22400000002,4.5,0.0486,15.2,1260,81,50,30,30,0,0,2.0,0.0,0.0,0.0,128.3,202329.1,22,True,3,9,18,False,12.63,8,0.0,0.0,0.0,0.0,IBL,False,1.0,True,0.9478,2
2025-01-01,TS-009,354.7,67930.9,-46344.576,46344.576,7.9,0.0026,17.7,922,13,21,76,13,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7,False,3,9,23,False,20.34,9,0.0,0.0,0.0,0.0,SERVICE,False,0.9926,True,0.9835,2
2025-01-01,TS-010,406.4,75117.0,-39158.475999999995,39158.475999999995,9.0,0.0256,14.9,1472,39,109,52,39,0,0,1.0,0.0,0.0,0.0,0.0,0.0,10,True,3,9,7,False,2.34,10,0.0,0.0,0.0,0.0,SERVICE,False,0.9706,True,0.9801,2
