date,trainset_id,daily_km,cumulative_km,km_deviation_from_mean,km_balance_score,bogie_hours,brake_pad_wear_index,hvac_run_hours,door_cycles,cert_days_rolling_stock,cert_days_signalling,cert_days_telecom,min_cert_days,any_cert_expired,cert_expiring_soon,open_job_count,critical_open_jobs,has_critical_open,daily_exposure,exposure_gap,branding_urgency,days_since_deep_clean,needs_cleaning,available_cleaning_bays,available_manpower,bay_number,is_ibl_bay,shunt_cost,turnout_order,deployment_ready,operational_efficiency,deployment_time_minutes,shunting_complexity,fault_count,critical_faults,high_faults,any_withdrawal,day_of_week,ensemble_score,pkl_score,pipe_score,ml_assignment,predicted_outcome_score,confidence_SERVICE,confidence_STANDBY,confidence_IBL,rank,eligible_for_service,must_ibl,prefer_ibl,rule_reasons,forced_ibl,final_assignment,service_score
2026-02-20 03:04:33.828148,TS-001,83.0,125000.0,12600.0,12600.0,8.5,0.75,7.2,996,60,60,60,60,0,0,0,0,0,18.0,0.0,0.0,767,1,3,8,1,1,1.5,1,True,95.0,8.0,low,0,0,0,0,4,0.5534,0.0002,0.9222,SERVICE,0.5533999800682068,0.9881,0.0103,0.0016,13,True,False,False,CLEAR,False,SERVICE,0.4272321567418734
2026-02-20 03:04:33.828148,TS-002,73.0,98000.0,-14400.0,14400.0,7.2,0.65,6.8,876,60,60,60,60,0,0,0,1,1,17.099999999999998,5.0,6.0,768,1,3,8,2,1,1.5,2,True,95.0,8.0,low,1,1,0,0,4,0.5687,1e-04,0.9477,IBL,0.5687000155448914,0.3618,0.0966,0.5416,23,False,True,False,CRITICAL_JOB_OPEN,True,IBL,0.0
2026-02-20 03:04:33.828148,TS-003,93.0,156000.0,43600.0,43600.0,10.2,0.85,7.8,1116,-10,-773,-773,-773,1,0,1,2,1,16.2,10.0,8.0,772,1,3,8,1,1,2.0,1,True,88.0,12.0,medium,2,2,0,0,4,0.5728,0.0,0.9547,IBL,0.5727999806404114,0.0,0.0,1.0,21,False,True,True,FITNESS_CERT_EXPIRED; CRITICAL_JOB_OPEN; CERT_EXPIRING_SOON,True,IBL,0.0
2026-02-20 03:04:33.828148,TS-004,67.0,87000.0,-25400.0,25400.0,6.8,0.6,6.4,804,60,60,60,60,0,0,0,0,0,18.0,0.0,0.0,766,1,3,8,3,1,1.5,3,True,95.0,8.0,low,0,0,0,0,4,0.5514,0.0002,0.9189,SERVICE,0.5514000058174133,0.9998,0.0002,0.0,14,True,False,False,CLEAR,False,SERVICE,0.524955688843774
2026-02-20 03:04:33.828148,TS-005,87.0,142000.0,29600.0,29600.0,9.6,0.8,7.6,1044,-737,-10,-737,-737,1,0,1,1,1,15.299999999999999,15.0,9.0,770,1,3,8,2,1,2.0,2,True,88.0,12.0,medium,1,1,0,0,4,0.5836,0.0,0.9726,IBL,0.5835999846458435,0.0,1e-04,0.9999,19,False,True,True,FITNESS_CERT_EXPIRED; CRITICAL_JOB_OPEN; CERT_EXPIRING_SOON,True,IBL,0.0
2026-02-20 03:04:33.828148,TS-006,80.0,108000.0,-4400.0,4400.0,7.8,0.7,7.0,960,60,60,60,60,0,0,0,0,0,17.099999999999998,5.0,7.0,765,1,3,8,4,1,1.5,4,True,95.0,8.0,low,0,0,0,0,4,0.5545,1e-04,0.9241,SERVICE,0.5544999837875366,0.9987,0.001,0.0002,12,True,False,False,CLEAR,False,SERVICE,0.590958655038113
2026-02-20 03:04:33.828148,TS-007,90.0,134000.0,21600.0,21600.0,9.2,0.78,7.4,1080,60,60,60,60,0,0,0,0,0,16.2,10.0,11.0,769,1,3,8,3,1,2.0,3,True,88.0,12.0,medium,0,0,0,0,4,0.5617,1e-04,0.9361,SERVICE,0.5616999864578247,0.9767,0.0174,0.0059,2,True,False,False,CLEAR,False,SERVICE,0.466024635839488
2026-02-20 03:04:33.828148,TS-008,60.0,76000.0,-36400.0,36400.0,6.2,0.55,6.0,720,-703,-703,-10,-703,1,0,1,2,1,14.4,20.0,8.0,771,1,3,8,1,1,2.5,1,False,75.0,15.0,high,2,2,0,0,4,0.539,0.0,0.8983,IBL,0.5389999747276306,0.003,0.0036,0.9934,25,False,True,True,FITNESS_CERT_EXPIRED; CRITICAL_JOB_OPEN; CERT_EXPIRING_SOON,False,IBL,0.0
2026-02-20 03:04:33.828148,TS-009,77.0,118000.0,5600.0,5600.0,8.0,0.68,6.9,924,60,60,60,60,0,0,0,0,0,15.299999999999999,15.0,10.5,764,1,3,8,5,1,1.5,5,True,95.0,8.0,low,0,0,0,0,4,0.5594,1e-04,0.9323,SERVICE,0.5594000220298767,0.9955,0.0029,0.0015,5,True,False,False,CLEAR,False,SERVICE,0.667966432042356
2026-02-20 03:04:33.828148,TS-010,70.0,95000.0,-17400.0,17400.0,7.0,0.62,6.6,840,60,60,60,60,0,0,0,0,0,18.0,0.0,0.0,763,1,3,8,6,0,1.5,6,True,95.0,8.0,low,0,0,0,0,4,0.5622,1e-04,0.9369,SERVICE,0.5622000098228455,0.9997,0.0002,0.0,1,True,False,False,CLEAR,False,SERVICE,0.6494781385281386
2026-02-20 03:04:33.828148,TS-011,97.0,148000.0,35600.0,35600.0,10.0,0.82,8.0,1164,-758,-758,-758,-758,1,0,1,1,1,15.299999999999999,15.0,8.25,773,1,3,8,4,1,2.0,4,True,88.0,12.0,medium,1,1,0,0,4,0.5743,0.0,0.9572,IBL,0.5742999911308289,0.0,1e-04,0.9999,20,False,True,True,FITNESS_CERT_EXPIRED; CRITICAL_JOB_OPEN; CERT_EXPIRING_SOON,True,IBL,0.0
2026-02-20 03:04:33.828148,TS-012,63.0,82000.0,-30400.0,30400.0,6.5,0.58,6.2,756,60,60,60,60,0,0,0,0,0,17.099999999999998,5.0,8.0,762,1,3,8,7,0,1.5,7,True,95.0,8.0,low,0,0,0,0,4,0.5417,0.0002,0.9027,SERVICE,0.541700005531311,0.9998,0.0002,0.0,17,True,False,False,CLEAR,False,SERVICE,0.5571215530909941
2026-02-20 03:04:33.828148,TS-013,83.0,126000.0,13600.0,13600.0,8.6,0.73,7.2,996,60,60,60,60,0,0,0,0,0,16.2,10.0,9.0,768,1,3,8,5,1,2.0,5,True,88.0,12.0,medium,0,0,0,0,4,0.5601,1e-04,0.9335,SERVICE,0.5601000189781189,0.987,0.0103,0.0026,4,True,False,False,CLEAR,False,SERVICE,0.455218798439712
2026-02-20 03:04:33.828148,TS-014,80.0,112000.0,-400.0,400.0,7.8,0.7,7.0,960,-724,-724,-724,-724,1,0,1,2,1,13.5,25.0,7.5,774,1,3,8,2,1,2.5,2,False,75.0,15.0,high,2,2,0,0,4,0.5671,0.0,0.9452,IBL,0.5670999884605408,0.0003,0.0004,0.9993,24,False,True,True,FITNESS_CERT_EXPIRED; CRITICAL_JOB_OPEN; CERT_EXPIRING_SOON,False,IBL,0.0
2026-02-20 03:04:33.828148,TS-015,67.0,89000.0,-23400.0,23400.0,6.8,0.61,6.4,804,60,60,60,60,0,0,0,0,0,15.299999999999999,15.0,11.25,761,1,3,8,8,0,1.5,8,True,95.0,8.0,low,0,0,0,0,4,0.5554,1e-04,0.9256,SERVICE,0.555400013923645,0.9998,0.0002,0.0,10,True,False,False,CLEAR,False,SERVICE,0.7411511100992912
2026-02-20 03:04:33.828148,TS-016,90.0,138000.0,25600.0,25600.0,9.4,0.79,7.5,1080,60,60,60,60,0,0,0,0,0,17.099999999999998,5.0,8.5,770,1,3,8,6,0,2.0,6,True,88.0,12.0,medium,0,0,0,0,4,0.5579,1e-04,0.9297,SERVICE,0.5579000115394592,0.8951,0.0824,0.0225,7,True,False,False,CLEAR,False,STANDBY,0.3722352696343476
2026-02-20 03:04:33.828148,TS-017,77.0,104000.0,-8400.0,8400.0,7.5,0.67,6.8,924,-713,-713,-713,-713,1,0,1,1,1,14.4,20.0,7.0,772,1,3,8,3,1,2.5,3,False,75.0,15.0,high,1,1,0,0,4,0.569,0.0,0.9484,IBL,0.5690000057220459,0.002,0.0011,0.9969,22,False,True,True,FITNESS_CERT_EXPIRED; CRITICAL_JOB_OPEN; CERT_EXPIRING_SOON,False,IBL,0.0
2026-02-20 03:04:33.828148,TS-018,60.0,78000.0,-34400.0,34400.0,6.2,0.56,6.0,720,60,60,60,60,0,0,0,0,0,16.2,10.0,10.0,760,1,3,8,9,0,1.5,9,True,95.0,8.0,low,0,0,0,0,4,0.5496,1e-04,0.916,SERVICE,0.5496000051498413,0.9998,0.0002,0.0,15,True,False,False,CLEAR,False,SERVICE,0.7000296634677237
2026-02-20 03:04:33.828148,TS-019,83.0,122000.0,9600.0,9600.0,8.4,0.72,7.1,996,60,60,60,60,0,0,0,0,0,18.0,0.0,0.0,767,1,3,8,7,0,2.0,7,True,88.0,12.0,medium,0,0,0,0,4,0.556,0.0002,0.9266,SERVICE,0.5559999942779541,0.9957,0.0031,0.0011,9,True,False,False,CLEAR,False,STANDBY,0.31921248105702027
2026-02-20 03:04:33.828148,TS-020,70.0,96000.0,-16400.0,16400.0,7.0,0.63,6.6,840,60,60,60,60,0,0,0,0,0,15.299999999999999,15.0,12.75,759,1,3,8,10,0,1.5,10,True,95.0,8.0,low,0,0,0,0,4,0.5582,1e-04,0.9302,SERVICE,0.5582000017166138,0.9997,0.0003,1e-04,6,True,False,False,CLEAR,False,SERVICE,0.7867792795338896
2026-02-20 03:04:33.828148,TS-021,93.0,144000.0,31600.0,31600.0,9.8,0.81,7.8,1116,60,60,60,60,0,0,0,0,0,15.299999999999999,15.0,9.75,771,1,3,8,8,0,2.0,8,True,88.0,12.0,medium,0,0,0,0,4,0.5579,1e-04,0.9297,SERVICE,0.5579000115394592,0.8856,0.082,0.0324,8,True,False,False,CLEAR,False,STANDBY,0.36151648939497916
2026-02-20 03:04:33.828148,TS-022,63.0,86000.0,-26400.0,26400.0,6.5,0.59,6.2,756,60,60,60,60,0,0,0,0,0,17.099999999999998,5.0,7.75,758,1,3,8,11,0,1.5,11,True,95.0,8.0,low,0,0,0,0,4,0.5367,0.0002,0.8943,SERVICE,0.5367000102996826,0.9998,0.0002,0.0,18,True,False,False,CLEAR,False,SERVICE,0.5169117010440539
