date,contract_id,trainset_id,exposure_hours,target_hours_per_month,penalty_per_hour_missed
2025-01-01,BRD-001,TS-024,16.5,500,1668.0
2025-01-01,BRD-001,TS-003,17.2,500,1668.0
2025-01-01,BRD-002,TS-010,0.0,300,575.0
2025-01-01,BRD-002,TS-019,16.8,300,575.0
2025-01-01,BRD-003,TS-002,14.6,500,850.0
2025-01-01,BRD-003,TS-017,14.5,500,850.0
2025-01-01,BRD-003,TS-020,16.4,500,850.0
2025-01-01,BRD-003,TS-015,0.0,500,850.0
2025-01-01,BRD-004,TS-006,15.4,400,1577.0
2025-01-01,BRD-004,TS-004,15.0,400,1577.0
2025-01-01,BRD-004,TS-008,0.0,400,1577.0
2025-01-01,BRD-004,TS-018,17.6,400,1577.0
2025-01-01,BRD-005,TS-006,16.5,400,780.0
2025-01-01,BRD-005,TS-015,0.0,400,780.0
2025-01-01,BRD-005,TS-024,0.0,400,780.0
2025-01-01,BRD-005,TS-011,17.3,400,780.0
2025-01-01,BRD-006,TS-002,17.9,500,1315.0
2025-01-01,BRD-006,TS-017,15.6,500,1315.0
2025-01-01,BRD-006,TS-020,16.5,500,1315.0
2025-01-01,BRD-006,TS-019,15.0,500,1315.0
2025-01-01,BRD-006,TS-024,0.0,500,1315.0
2025-01-01,BRD-007,TS-015,0.0,400,1886.0
2025-01-01,BRD-007,TS-002,17.7,400,1886.0
2025-01-01,BRD-007,TS-023,0.0,400,1886.0
2025-01-01,BRD-007,TS-006,0.0,400,1886.0
2025-01-01,BRD-008,TS-011,17.1,500,1271.0
2025-01-01,BRD-008,TS-016,14.1,500,1271.0
2025-01-01,BRD-008,TS-002,15.1,500,1271.0
2025-01-01,BRD-008,TS-006,15.8,500,1271.0
2025-01-01,BRD-008,TS-024,15.2,500,1271.0
2025-01-02,BRD-001,TS-024,17.7,500,1668.0
2025-01-02,BRD-001,TS-003,14.1,500,1668.0
2025-01-02,BRD-002,TS-010,15.8,300,575.0
2025-01-02,BRD-002,TS-019,14.1,300,575.0
2025-01-02,BRD-003,TS-002,16.1,500,850.0
2025-01-02,BRD-003,TS-017,17.0,500,850.0
2025-01-02,BRD-003,TS-020,16.3,500,850.0
2025-01-02,BRD-003,TS-015,0.0,500,850.0
2025-01-02,BRD-004,TS-006,15.0,400,1577.0
2025-01-02,BRD-004,TS-004,17.5,400,1577.0
2025-01-02,BRD-004,TS-008,0.0,400,1577.0
2025-01-02,BRD-004,TS-018,0.0,400,1577.0
2025-01-02,BRD-005,TS-006,0.0,400,780.0
2025-01-02,BRD-005,TS-015,16.3,400,780.0
2025-01-02,BRD-005,TS-024,0.0,400,780.0
2025-01-02,BRD-005,TS-011,17.4,400,780.0
2025-01-02,BRD-006,TS-002,15.6,500,1315.0
2025-01-02,BRD-006,TS-017,14.8,500,1315.0
2025-01-02,BRD-006,TS-020,0.0,500,1315.0
2025-01-02,BRD-006,TS-019,15.9,500,1315.0
2025-01-02,BRD-006,TS-024,16.8,500,1315.0
2025-01-02,BRD-007,TS-015,0.0,400,1886.0
2025-01-02,BRD-007,TS-002,15.3,400,1886.0
2025-01-02,BRD-007,TS-023,14.3,400,1886.0
2025-01-02,BRD-007,TS-006,0.0,400,1886.0
2025-01-02,BRD-008,TS-011,0.0,500,1271.0
2025-01-02,BRD-008,TS-016,16.5,500,1271.0
2025-01-02,BRD-008,TS-002,16.1,500,1271.0
2025-01-02,BRD-008,TS-006,15.8,500,1271.0
2025-01-02,BRD-008,TS-024,14.7,500,1271.0
2025-01-03,BRD-001,TS-024,14.9,500,1668.0
2025-01-03,BRD-001,TS-003,16.3,500,1668.0
2025-01-03,BRD-002,TS-010,16.6,300,575.0
2025-01-03,BRD-002,TS-019,16.9,300,575.0
2025-01-03,BRD-003,TS-002,14.7,500,850.0
2025-01-03,BRD-003,TS-017,14.2,500,850.0
2025-01-03,BRD-003,TS-020,17.6,500,850.0
2025-01-03,BRD-003,TS-015,16.8,500,850.0
2025-01-03,BRD-004,TS-006,15.2,400,1577.0
2025-01-03,BRD-004,TS-004,17.6,400,1577.0
2025-01-03,BRD-004,TS-008,16.2,400,1577.0
2025-01-03,BRD-004,TS-018,16.0,400,1577.0
2025-01-03,BRD-005,TS-006,17.6,400,780.0
2025-01-03,BRD-005,TS-015,16.5,400,780.0
2025-01-03,BRD-005,TS-024,15.2,400,780.0
2025-01-03,BRD-005,TS-011,16.7,400,780.0
2025-01-03,BRD-006,TS-002,15.3,500,1315.0
2025-01-03,BRD-006,TS-017,17.4,500,1315.0
2025-01-03,BRD-006,TS-020,14.9,500,1315.0
2025-01-03,BRD-006,TS-019,14.3,500,1315.0
2025-01-03,BRD-006,TS-024,15.6,500,1315.0
2025-01-03,BRD-007,TS-015,15.8,400,1886.0
2025-01-03,BRD-007,TS-002,16.0,400,1886.0
