date,trainset_id,fault_type,severity,resolved_in_hours,caused_withdrawal
2025-01-01,TS-004,pantograph_fault,high,42.9,True
2025-01-01,TS-005,pantograph_fault,medium,3.3,False
2025-01-01,TS-002,power_supply_issue,medium,7.4,False
2025-01-01,TS-022,pantograph_fault,high,26.6,False
2025-01-01,TS-002,pantograph_fault,high,27.4,True
2025-01-02,TS-018,door_malfunction,critical,37.4,True
2025-01-02,TS-007,coupling_issue,low,3.1,False
2025-01-03,TS-006,door_malfunction,low,2.8,False
2025-01-03,TS-012,signalling_error,critical,46.5,False
2025-01-03,TS-023,brake_fault,critical,109.3,False
2025-01-03,TS-011,telecom_down,medium,2.5,False
2025-01-03,TS-003,coupling_issue,medium,10.8,False
2025-01-03,TS-009,telecom_down,low,2.9,False
2025-01-04,TS-002,brake_fault,medium,11.9,False
2025-01-04,TS-016,telecom_down,low,2.5,False
2025-01-04,TS-012,power_supply_issue,medium,5.8,False
2025-01-04,TS-016,coupling_issue,low,1.8,False
2025-01-04,TS-017,hvac_failure,low,3.2,False
2025-01-04,TS-025,signalling_error,high,38.6,False
2025-01-04,TS-024,signalling_error,medium,2.2,False
2025-01-04,TS-021,pantograph_fault,medium,3.3,False
2025-01-05,TS-007,door_malfunction,critical,30.9,False
2025-01-05,TS-023,hvac_failure,low,1.2,False
2025-01-05,TS-024,coupling_issue,low,0.8,False
2025-01-05,TS-006,signalling_error,low,1.1,False
2025-01-06,TS-024,power_supply_issue,low,1.1,False
2025-01-06,TS-012,pantograph_fault,low,0.6,False
2025-01-06,TS-022,signalling_error,medium,3.7,False
2025-01-06,TS-006,door_malfunction,low,1.5,False
2025-01-06,TS-022,telecom_down,high,23.6,False
2025-01-06,TS-006,signalling_error,medium,9.9,False
2025-01-06,TS-025,brake_fault,low,2.9,False
2025-01-07,TS-023,telecom_down,high,13.1,True
2025-01-07,TS-017,coupling_issue,medium,2.5,False
2025-01-07,TS-001,coupling_issue,low,0.8,False
2025-01-07,TS-011,pantograph_fault,high,32.6,False
2025-01-08,TS-002,pantograph_fault,low,3.2,False
2025-01-08,TS-008,coupling_issue,medium,7.8,False
2025-01-09,TS-006,brake_fault,low,3.9,False
2025-01-09,TS-010,coupling_issue,low,2.5,False
2025-01-09,TS-004,signalling_error,medium,6.7,False
2025-01-10,TS-007,door_malfunction,critical,115.3,True
2025-01-10,TS-024,signalling_error,medium,7.6,False
2025-01-10,TS-020,brake_fault,high,29.2,True
2025-01-10,TS-020,hvac_failure,high,11.3,False
2025-01-11,TS-001,telecom_down,critical,83.9,False
2025-01-11,TS-007,door_malfunction,medium,5.4,False
2025-01-11,TS-002,hvac_failure,medium,3.2,False
2025-01-12,TS-012,hvac_failure,low,3.1,False
2025-01-12,TS-009,coupling_issue,medium,4.2,False
2025-01-12,TS-025,door_malfunction,high,46.7,False
2025-01-12,TS-024,brake_fault,low,1.3,False
2025-01-12,TS-014,pantograph_fault,high,42.6,True
2025-01-12,TS-009,power_supply_issue,medium,2.5,False
2025-01-12,TS-001,coupling_issue,medium,3.8,False
2025-01-12,TS-016,pantograph_fault,high,35.3,True
2025-01-13,TS-004,door_malfunction,low,0.7,False
2025-01-13,TS-007,power_supply_issue,medium,9.3,False
2025-01-14,TS-005,brake_fault,low,3.4,False
2025-01-14,TS-003,power_supply_issue,critical,100.7,True
2025-01-14,TS-011,coupling_issue,high,45.7,True
2025-01-14,TS-014,signalling_error,high,46.8,True
2025-01-14,TS-023,brake_fault,high,26.3,False
2025-01-14,TS-009,door_malfunction,high,22.4,False
2025-01-15,TS-010,signalling_error,medium,10.3,False
2025-01-15,TS-019,coupling_issue,critical,62.3,True
2025-01-15,TS-021,hvac_failure,low,2.6,False
2025-01-15,TS-020,power_supply_issue,high,15.1,False
2025-01-16,TS-015,hvac_failure,low,1.3,False
2025-01-16,TS-024,power_supply_issue,medium,10.0,False
2025-01-16,TS-014,brake_fault,medium,10.0,False
2025-01-16,TS-002,telecom_down,critical,83.9,True
2025-01-16,TS-005,brake_fault,low,2.9,False
2025-01-16,TS-009,coupling_issue,high,11.0,True
2025-01-17,TS-010,power_supply_issue,low,2.2,False
2025-01-17,TS-002,power_supply_issue,critical,101.7,False
2025-01-17,TS-025,brake_fault,low,1.2,False
2025-01-17,TS-002,hvac_failure,high,47.5,False
2025-01-17,TS-002,door_malfunction,high,47.9,False
2025-01-17,TS-020,power_supply_issue,low,2.3,False
2025-01-17,TS-006,signalling_error,medium,4.8,False
2025-01-17,TS-002,telecom_down,medium,8.2,False
2025-01-18,TS-024,hvac_failure,critical,89.1,True
2025-01-18,TS-007,signalling_error,critical,37.6,False
2025-01-18,TS-012,power_supply_issue,medium,10.4,False
2025-01-19,TS-019,power_supply_issue,low,2.4,False
2025-01-19,TS-004,hvac_failure,low,4.0,False
2025-01-19,TS-011,telecom_down,low,2.6,False
2025-01-19,TS-004,coupling_issue,medium,11.5,False
2025-01-19,TS-018,power_supply_issue,critical,80.8,False
2025-01-19,TS-005,coupling_issue,medium,10.3,False
2025-01-19,TS-021,signalling_error,low,1.5,False
2025-01-20,TS-013,door_malfunction,high,37.5,True
2025-01-20,TS-024,pantograph_fault,critical,84.4,True
2025-01-20,TS-011,brake_fault,low,2.8,False
2025-01-21,TS-020,hvac_failure,high,44.8,True
2025-01-21,TS-004,pantograph_fault,medium,4.4,False
2025-01-21,TS-023,pantograph_fault,low,0.7,False
2025-01-21,TS-002,telecom_down,medium,7.9,False
2025-01-21,TS-005,door_malfunction,low,0.6,False
2025-01-21,TS-012,signalling_error,medium,11.5,False
2025-01-21,TS-001,hvac_failure,low,2.4,False
2025-01-22,TS-005,coupling_issue,critical,111.1,True
2025-01-22,TS-018,door_malfunction,low,1.2,False
2025-01-22,TS-014,pantograph_fault,high,34.1,True
2025-01-22,TS-008,door_malfunction,low,2.7,False
2025-01-22,TS-005,power_supply_issue,critical,114.1,False
2025-01-22,TS-009,power_supply_issue,critical,84.7,False
2025-01-22,TS-013,hvac_failure,high,31.4,True
2025-01-23,TS-003,telecom_down,medium,7.2,False
2025-01-23,TS-001,coupling_issue,low,3.2,False
2025-01-24,TS-010,pantograph_fault,low,2.6,False
2025-01-24,TS-016,signalling_error,low,0.7,False
2025-01-24,TS-020,brake_fault,medium,7.6,False
2025-01-24,TS-008,brake_fault,medium,6.5,False
2025-01-24,TS-007,coupling_issue,medium,5.1,False
2025-01-25,TS-001,power_supply_issue,low,4.0,False
2025-01-25,TS-002,coupling_issue,medium,9.6,False
2025-01-25,TS-025,power_supply_issue,low,3.2,False
2025-01-25,TS-025,coupling_issue,low,3.2,False
2025-01-25,TS-012,hvac_failure,medium,9.9,False
2025-01-26,TS-013,brake_fault,medium,2.8,False
