train_id,stabling_bay,reason,fitness_certificate_valid,job_card_status,branding_priority,mileage
2,B2,Fitness certificate invalid,False,open,4,11200
3,C5,Open job card,True,open,6,8700
6,C7,Open job card,True,open,8,16700
8,D3,Fitness certificate invalid,False,open,5,12400
10,C2,Open job card,True,open,1,3100
13,B1,Fitness certificate invalid,False,open,2,7200
14,C6,Open job card,True,open,5,13800
17,B7,Open job card,True,open,8,14900
19,D6,Fitness certificate invalid,False,open,6,13400
21,B3,Open job card,True,open,7,17100
24,A2,Open job card,True,open,5,12200
