train_id,stabling_bay,final_score,branding_priority,mileage,last_cleaned_date
9,B4,0.6169,10,17800,2025-09-04
12,D7,0.5906,7,8900,2025-09-02
15,A7,0.578,9,16400,2025-08-27
1,A3,0.5538,7,14500,2025-09-05
5,B6,0.5138,2,5400,2025-09-06
23,D2,0.5039,8,18500,2025-09-10
25,C3,0.4898,10,19900,2025-08-29
11,A1,0.4885,6,15300,2025-09-10
16,D5,0.4786,3,5800,2025-09-05
20,A4,0.4782,1,4200,2025-09-02
7,A5,0.451,3,9600,2025-08-30
4,D1,0.4506,9,19500,2025-08-28
18,C1,0.4038,4,10100,2025-08-31
22,C4,0.3521,2,9400,2025-09-01
